Time,Block,Task Type,Energy Check (1-10),Notes
07:30-08:30,FOUNDATION,Energy - Walk/Sun/Breakfast,,
08:30-10:00,SPRINT 1,Deep Build - ONE outcome,,
10:00-10:20,RECOVERY,Walk + Water + No Phone,,
10:20-11:50,SPRINT 2,Deep Build,,
11:50-13:00,SHALLOW + MOVE,Email/Admin/Lunch/Walk,,
13:00-14:30,SPRINT 3,Distribution - Ship in Public,,
14:30-15:00,RECOVERY 2,NSDR / Nap / Nature,,
15:00-17:00,BUFFER,Learning / Fixes if energy high,,
17:00-18:30,LIFE,Gym / Groceries / Social,,
18:30-19:00,SHUTDOWN,Review + 3 MITs for tomorrow,,
19:00-23:00,OFF,Life - No Laptop Rule,,

Metric,Today,Target
Deep Sprints Done,0,2-3
Brain Fog 1-10,0,<4
MRR,0,>0
Money Spent Today,0,<2 EUR
Social Interaction Y/N,,
Sleep Hours,0,7.5-8.5
